x,z,label,confidence
298.33993003726346,420.3101145829954,yurt,0.083
303.7135812035018,425.8738627328438,suspension bridge,0.076
303.7135812035018,425.8738627328438,horse cart horse-cart,0.078
303.7135812035018,425.8738627328438,park bench,0.056
304.7143214433197,426.6965137698489,oxcart,0.093
304.7143214433197,426.6965137698489,lakeside lakeshore,0.099
304.7143214433197,426.6965137698489,horse cart horse-cart,0.102
304.7143214433197,426.6965137698489,breakwater groin groyne mole bulwark seawall jetty,0.047
311.1765120350163,437.77725588349887,lakeside lakeshore,0.063
311.1765120350163,437.77725588349887,greenhouse nursery glasshouse,0.074
311.1765120350163,437.77725588349887,breakwater groin groyne mole bulwark seawall jetty,0.133
311.8422514957688,436.97575554991255,park bench,0.128
311.8422514957688,436.97575554991255,lakeside lakeshore,0.089
317.3139308799016,445.05532419182305,greenhouse nursery glasshouse,0.086
317.3139308799016,445.05532419182305,chainlink fence,0.1
317.3139308799016,445.05532419182305,stone wall,0.089
315.25704314767404,460.2971888707544,suspension bridge,0.131
315.25704314767404,460.2971888707544,bannister banister balustrade balusters handrail,0.118
315.25704314767404,460.2971888707544,greenhouse nursery glasshouse,0.114
309.10854285178584,481.63490886604916,lakeside lakeshore,0.09
309.10854285178584,481.63490886604916,greenhouse nursery glasshouse,0.285
309.10854285178584,481.63490886604916,chainlink fence,0.238
310.2269169528347,484.14516338390206,picket fence paling,0.049
310.2269169528347,484.14516338390206,park bench,0.081
310.2269169528347,484.14516338390206,worm fence snake fence snake-rail fence Virginia fence,0.069
312.6869990064313,485.492129222422,picket fence paling,0.054
312.6869990064313,485.492129222422,worm fence snake fence snake-rail fence Virginia fence,0.116
312.6869990064313,485.492129222422,park bench,0.11
315.436051197584,488.14932546762446,worm fence snake fence snake-rail fence Virginia fence,0.319
317.6651276248855,489.9961158200313,worm fence snake fence snake-rail fence Virginia fence,0.269
319.8132242201714,492.8815170212584,worm fence snake fence snake-rail fence Virginia fence,0.927
322.911768317599,498.94063690499354,worm fence snake fence snake-rail fence Virginia fence,0.851
324.42225528901406,502.5640863303415,worm fence snake fence snake-rail fence Virginia fence,0.436
325.04111168950845,506.79645337008856,worm fence snake fence snake-rail fence Virginia fence,0.367
325.53892455014255,511.3282698403259,worm fence snake fence snake-rail fence Virginia fence,0.45
325.1604503882371,519.4367815498645,worm fence snake fence snake-rail fence Virginia fence,0.612
325.60029873882155,523.6390923269834,worm fence snake fence snake-rail fence Virginia fence,0.322
325.26274070229834,526.9129985515851,worm fence snake fence snake-rail fence Virginia fence,0.356
325.2022189335795,530.8381237966327,worm fence snake fence snake-rail fence Virginia fence,0.795
324.55352785870576,534.2556321643748,worm fence snake fence snake-rail fence Virginia fence,0.565
324.93711653673824,537.3781438808359,worm fence snake fence snake-rail fence Virginia fence,0.636
325.2013665148307,540.2846957854817,worm fence snake fence snake-rail fence Virginia fence,0.698
325.37526004861365,542.2684091118198,worm fence snake fence snake-rail fence Virginia fence,0.633
325.09481410339123,543.7266944408519,worm fence snake fence snake-rail fence Virginia fence,0.483
